項次,業者名稱(市招),縣市,行政區,業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註
11203,松山野生鱉,臺北市,松山區,臺北市松山區八德路4段423號1樓,甲魚,114/9/30,動物用藥殘留,合格,,,
11204,南門鮮魚號,臺北市,中正區,臺北市中正區羅斯福路1路8號,虱目魚肚,114/10/1,動物用藥殘留,合格,,,
11205,好食采南門店,臺北市,中正區,臺北市中正區南海路6號1樓,無刺虱目魚肚片,114/10/1,動物用藥殘留,合格,,,
11206,隱鍋,臺北市,中山區,臺北市中山區林森北路353巷20號,蛤蠣,114/10/1,動物用藥殘留,合格,,,
11207,汆牛溫體牛肉火鍋西門店,臺北市,萬華區,臺北市萬華區成都路141號,冷凍白蝦,114/10/2,動物用藥殘留,合格,,,
11208,大呼過癮通化店,臺北市,大安區,臺北市大安區通化街39巷5號1樓,鯛魚腹片,114/10/7,動物用藥殘留,合格,,,
11364,全家便利商店股份有限公司康陽店,臺北市,萬華區,臺北市萬華區康定路97號,樂禮冷藏鮮蛋(白殼),114/9/2,農藥殘留,合格,,,
11365,全家便利商店股份有限公司康陽店,臺北市,萬華區,臺北市萬華區康定路97號,大武山牧場x伊勢幸也鮮蛋,114/9/2,農藥殘留,合格,,,
11366,全家便利商店股份有限公司康陽店,臺北市,萬華區,臺北市萬華區康定路97號,元質-永續平飼紅殼蛋(雞蛋),114/9/2,農藥殘留,合格,,,
11367,丁煌蛋行,臺北市,萬華區,臺北市萬華區雙園街64號,白蛋,114/9/2,農藥殘留,合格,,,
11368,丁煌蛋行,臺北市,萬華區,臺北市萬華區雙園街64號,紅蛋,114/9/2,農藥殘留,合格,,,
11369,純土雞.烏骨雞.閹雞,臺北市,南港區,臺北市南港區同德路100號,烏骨雞,114/10/1,農藥殘留,合格,,,
11370,家樂福北投店,臺北市,北投區,臺北市北投區中和街366號B1,雞里肌肉,114/10/1,農藥殘留,合格,,,
11371,家樂福北投店,臺北市,北投區,臺北市北投區中和街366號B1,去骨腿排,114/10/1,農藥殘留,合格,,,
11372,家樂福北投店,臺北市,北投區,臺北市北投區中和街366號B1,雞胸肉,114/10/1,農藥殘留,合格,,,
11479,米塔義廚股份有限公司,臺北市,松山區,臺北市松山區東興路16號1樓,泰式奶茶,114/9/2,食品微生物,不合格,違反食安法第17條，依同法第48條裁處,30000,泰式奶茶複抽驗不合格
11481,釜山有限公司(京站雪嶽山),臺北市,大同區,臺北市大同區承德路一段1號B3,-,114/9/18,GHP,合格,,,
11482,釜山有限公司(京站雪嶽山),臺北市,大同區,臺北市大同區承德路一段1號B3,-,114/9/9,標示,合格,,,
11483,釜山有限公司(京站雪嶽山),臺北市,大同區,臺北市大同區承德路一段1號B3,馬鈴薯沙拉,114/9/9,食品微生物,合格,,,
11484,釜山有限公司(京站雪嶽山),臺北市,大同區,臺北市大同區承德路一段1號B3,涼拌川耳,114/9/9,食品微生物,合格,,,
11485,豐達食品有限公司(點心世界微風台北車站店),臺北市,中正區,臺北市中正區北平西路3號2樓,-,114/9/9,GHP,合格,,,
11486,豐達食品有限公司(點心世界微風台北車站店),臺北市,中正區,臺北市中正區北平西路3號2樓,-,114/9/9,標示,合格,,,
11487,豐達食品有限公司(點心世界微風台北車站店),臺北市,中正區,臺北市中正區北平西路3號2樓,肉絲炒飯,114/9/9,食品微生物,合格,,,
11488,豐達食品有限公司(點心世界微風台北車站店),臺北市,中正區,臺北市中正區北平西路3號2樓,油豆腐,114/9/9,防腐劑、殺菌劑,合格,,,
11489,臺灣富禮納思股份有限公司(YAYOI彌生軒微風車站店),臺北市,中正區,臺北市中正區北平西路3號2樓,-,114/9/9,GHP,合格,,,
11490,臺灣富禮納思股份有限公司(YAYOI彌生軒微風車站店),臺北市,中正區,臺北市中正區北平西路3號2樓,-,114/9/9,標示,合格,,,
11491,臺灣富禮納思股份有限公司(YAYOI彌生軒微風車站店),臺北市,中正區,臺北市中正區北平西路3號2樓,花蛤烏龍麵,114/9/9,食品微生物,合格,,,
11492,臺灣富禮納思股份有限公司(YAYOI彌生軒微風車站店),臺北市,中正區,臺北市中正區北平西路3號2樓,宇治玉露抹茶(去冰),114/9/9,食品微生物,不合格,違反食安法第17條，依同法第48條裁處,30000,宇治玉露抹茶(去冰)複抽驗不合格
11493,曹鼎旺股份有限公司臺北分公司(老鼎旺功夫銷魂麵鋪-京站廣場店),臺北市,大同區,臺北市大同區承德路一段1號B3,-,114/9/18,GHP,合格,,,
11494,曹鼎旺股份有限公司臺北分公司(老鼎旺功夫銷魂麵鋪-京站廣場店),臺北市,大同區,臺北市大同區承德路一段1號B3,-,114/9/9,標示,合格,,,
11495,曹鼎旺股份有限公司臺北分公司(老鼎旺功夫銷魂麵鋪-京站廣場店),臺北市,大同區,臺北市大同區承德路一段1號B3,手工拉麵,114/9/9,防腐劑、殺菌劑、漂白劑,合格,,,
11496,百馥餐飲店,臺北市,士林區,臺北市士林區美德街16弄8樓,-,114/9/24,GHP,合格,,,
11497,百馥餐飲店,臺北市,士林區,臺北市士林區美德街16弄8樓,-,114/9/10,標示,合格,,,
11498,百馥餐飲店,臺北市,士林區,臺北市士林區美德街16弄8樓,古早味乾拌麵,114/9/10,食品微生物,合格,,,
11499,百馥餐飲店,臺北市,中山區,臺北市中山區松江路297巷8號1樓,涼拌黃瓜,114/9/10,食品微生物,合格,,,
11500,李〇平,臺北市,士林區,臺北市士林區士林市場-87號攤,豆腐,114/9/10,防腐劑(苯甲酸)、殺菌劑,不合格,依違反食安法第47條第11款規定裁處,30000,檢出防腐劑(苯甲酸，不得檢出)，查來源商無法提供違規產品確切來源，妨礙臺北市政府衛生局後續源頭追蹤查核。
11501,三口品企業社(環球南港-好滴咖啡南港店),臺北市,南港區,臺北市南港區忠孝東路7段371號B1,-,114/9/10,GHP,合格,,,
